,chunk,length,recognitiontime
0,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN2.flac,58.79993197278912,38.644108057022095
1,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN5.flac,21.119931972789114,14.075317859649658
2,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN9.flac,20.079931972789115,20.6303608417511
3,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN16.flac,102.09993197278912,0.0
4,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN22.flac,27.479931972789117,12.258055210113525
5,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN25.flac,20.959931972789114,17.000059366226196
6,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN34.flac,22.099931972789115,19.236554384231567
7,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN36.flac,20.399931972789116,14.836047172546387
8,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN37.flac,28.959931972789114,24.07415509223938
9,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN44.flac,28.359931972789116,23.428247690200806
10,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN51.flac,20.419931972789115,10.42514944076538
11,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN59.flac,22.979931972789117,16.55583691596985
12,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN66.flac,22.859931972789116,11.124549865722656
13,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN71.flac,31.199931972789116,19.3537917137146
14,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN74.flac,30.339931972789117,21.10600709915161
15,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN82.flac,20.979931972789117,14.276954412460327
16,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN88.flac,30.639931972789114,21.89544415473938
17,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN92.flac,22.339931972789117,14.985114336013794
18,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN95.flac,24.799931972789114,23.787403106689453
19,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN97.flac,23.759931972789115,16.096303701400757
20,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN100.flac,30.019931972789117,21.410588264465332
21,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN108.flac,30.699931972789116,23.388412475585938
22,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN112.flac,39.61993197278912,28.337435722351074
23,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN116.flac,25.119931972789114,16.34416913986206
24,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN123.flac,20.919931972789115,24.8637957572937
25,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN127.flac,23.379931972789116,14.42291808128357
26,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN133.flac,23.159931972789117,15.92242431640625
27,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN139.flac,20.739931972789115,17.868743896484375
28,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN147.flac,22.579931972789115,22.256462335586548
29,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN155.flac,41.67993197278911,34.70998692512512
30,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN161.flac,28.259931972789115,22.567907571792603
31,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN169.flac,42.01993197278912,32.612051248550415
32,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN173.flac,23.699931972789116,18.261552572250366
33,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN175.flac,26.719931972789116,25.595919370651245
34,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN177.flac,28.019931972789117,29.071638107299805
35,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN182.flac,26.899931972789116,25.062671184539795
36,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN190.flac,31.519931972789117,31.373934745788574
37,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN202.flac,22.859931972789116,20.718640089035034
38,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN210.flac,20.399931972789116,17.711677074432373
39,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN218.flac,28.059931972789116,25.317652702331543
40,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN226.flac,25.319931972789117,23.682698726654053
41,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN232.flac,23.699931972789116,20.65751314163208
42,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN233.flac,35.319931972789114,29.990381240844727
43,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN241.flac,23.059931972789116,15.154494762420654
44,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN247.flac,20.059931972789116,11.288871765136719
45,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN258.flac,21.259931972789115,10.246145009994507
46,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN264.flac,31.119931972789114,15.394694805145264
47,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN266.flac,30.539931972789116,14.586700677871704
48,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN268.flac,22.559931972789116,0.0
49,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN273.flac,22.819931972789117,8.640861749649048
50,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN279.flac,35.459931972789114,13.25020146369934
51,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN284.flac,24.239931972789115,13.980909824371338
52,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN289.flac,22.399931972789116,0.0
53,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN295.flac,37.599931972789115,16.801956176757812
54,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN301.flac,22.839931972789117,12.423630714416504
55,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN305.flac,23.159931972789117,10.240622282028198
56,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN308.flac,24.899931972789116,18.096472024917603
57,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN317.flac,65.87993197278911,57.90870547294617
58,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN321.flac,83.71993197278911,69.28923678398132
59,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN322.flac,24.299931972789114,18.291651725769043
60,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN324.flac,23.679931972789117,25.931006908416748
61,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN325.flac,49.49993197278911,31.392789840698242
62,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN330.flac,21.259931972789115,11.606318950653076
63,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN335.flac,22.459931972789114,11.99364948272705
64,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN341.flac,20.379931972789116,11.50233006477356
65,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN348.flac,28.579931972789115,14.083699941635132
66,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN354.flac,32.599931972789115,20.823663234710693
67,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN358.flac,20.019931972789117,14.151187658309937
68,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN363.flac,34.919931972789115,37.15221405029297
69,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN375.flac,40.33993197278912,28.569358110427856
70,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN382.flac,20.459931972789114,14.38253903388977
71,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN390.flac,42.959931972789114,37.6015944480896
72,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN392.flac,35.07993197278912,43.52159118652344
73,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN398.flac,29.419931972789115,42.21600651741028
74,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN400.flac,64.65993197278911,0.0
75,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN404.flac,24.539931972789116,22.801448106765747
76,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN408.flac,26.099931972789115,16.76709485054016
77,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN412.flac,20.139931972789114,10.036768198013306
78,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN422.flac,21.679931972789117,14.01955533027649
79,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN428.flac,30.759931972789115,16.727263689041138
80,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN432.flac,27.159931972789117,22.91950535774231
81,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN437.flac,20.439931972789115,17.51027488708496
82,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN440.flac,56.459931972789114,54.83562135696411
83,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN442.flac,34.699931972789116,27.700835704803467
84,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN444.flac,26.339931972789117,23.41101622581482
85,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN447.flac,68.61993197278912,61.82005500793457
86,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN455.flac,22.879931972789116,12.292926788330078
87,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN462.flac,20.539931972789116,10.918707370758057
88,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN466.flac,22.019931972789117,15.759786605834961
89,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN472.flac,20.259931972789115,12.00097942352295
90,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN477.flac,51.17993197278911,33.59340810775757
91,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN479.flac,65.93993197278911,68.59363389015198
92,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN482.flac,24.579931972789115,16.868769645690918
93,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN484.flac,47.99993197278911,0.0
94,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN486.flac,51.959931972789114,0.0
95,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN488.flac,35.85993197278911,26.368412733078003
96,45 MINT   09 02 2019-tNVpggoLCQ4_Male_44100_CLEAN490.flac,20.679931972789117,24.794191360473633
97,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN491.flac,48.83993197278912,41.7758264541626
98,45 MINT   09 02 2019-tNVpggoLCQ4_Female_44100_CLEAN492.flac,1.6599319727891158,0.0
